report,source,authored_at,author,status,incident_title,incident_category,important,place_name,notes
"Runoff election to start in Liberia #cnn http://t.co/UtBnrMYJ","Twitter 1","2011-11-08 07:01:30",LexoKat,NULL,NULL,NULL,NULL,NULL,NULL
"Runoff election to start in Liberia (CNN): Share With Friends:  |  | World News - Africa Stories, RSS and RSS Fe... http://t.co/wlWsQRag","Twitter 1","2011-11-08 07:01:29",evertuts,NULL,NULL,NULL,NULL,NULL,NULL
"RT @Africanelection: Liberia: Young Girl describes some of the police brutalities during election riots http://t.co/BZhLGMpw #liberia2011","Twitter 1","2011-11-08 07:01:43",drgoddess,NULL,NULL,NULL,NULL,NULL,NULL
"LIBERIA: LibÃƒÂ©ria : un second tour de la prÃƒÂ©sidentielle sous tension (RFI): Liberia Les LibÃƒÂ©riens sont appelÃƒÂ©s au... http://t.co/EX3Y0ur3","Twitter 1","2011-11-08 07:01:40",Actualites_FR,NULL,NULL,NULL,NULL,NULL,NULL
"RT @nytimesworld: Liberia Protests Turn Violent on Eve of Election http://t.co/yNsXiq6k","Twitter 1","2011-11-08 07:02:14",Ahmedlebedi,NULL,NULL,NULL,NULL,NULL,NULL
"Le Liberia rÃƒÂ©ÃƒÂ©lit EllenJohnsonSirleaf, faute de rival: La prÃƒÂ©sidente sortante du Liberia est privÃƒÂ©e d'adversai... http://t.co/5L1v8Dqj","Twitter 1","2011-11-08 07:04:06",FlashPresse,NULL,NULL,NULL,NULL,NULL,NULL
"Deadly riot breaks out in Liberia day before vote http://t.co/PgMMSKOK","Twitter 1","2011-11-08 07:04:27",sierraleonenet,NULL,NULL,NULL,NULL,NULL,NULL
"Nu: Liberia i #alltidnyheter. Andra valomgÃƒÂ¥ngen i presidentvalet kÃƒÂ¶rs dÃƒÂ¤r idag.","Twitter 1","2011-11-08 07:03:33",KrisBoswellAN,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia challenger warns of turmoil unless poll delayed http://t.co/VyoDjXix","Twitter 1","2011-11-08 07:04:31",sierraleonenet,NULL,NULL,NULL,NULL,NULL,NULL
"RT @draperc: Good morning #Liberia, today is run-off #elections, vote your leader for a better Liberia! violence isn't the answer! htt ...","Twitter 1","2011-11-08 07:03:33",alexinafrica,NULL,NULL,NULL,NULL,NULL,NULL
"Pls oh,wats d capital city of Angola,togo,zimbabwe,dubai and liberia","Twitter 1","2011-11-08 07:05:23",mamarolex,NULL,NULL,NULL,NULL,NULL,NULL
"Violence, boycott cast gloom over Liberia's run-off \n    (Reuters)\n http://t.co/AXn3AGTI","Twitter 1","2011-11-08 07:05:09",123mybusiness,NULL,NULL,NULL,NULL,NULL,NULL
"[yahoo] Violence, boycott cast gloom over Liberia's run-off \n    (Reuters)\n: Reuters - Tension, a planned oppo... http://t.co/f3j4cUhq","Twitter 1","2011-11-08 07:05:09",rainy2i,NULL,NULL,NULL,NULL,NULL,NULL
"Riot breaks out in Liberia ahead of presidential polls http://t.co/F95Q4hwE","Twitter 1","2011-11-08 07:05:40",jedyoong,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: second tour de la prÃƒÂ©sidentielle, une seule candidate aprÃƒÂ¨s des violences http://t.co/AMXh0OfR","Twitter 1","2011-11-08 07:07:02",cd_land,NULL,NULL,NULL,NULL,NULL,NULL
"Deadly riot breaks out in Liberia day before vote  http://t.co/MOXA7OIJ via @AddThis","Twitter 1","2011-11-08 07:07:29",chandinayat,NULL,NULL,NULL,NULL,NULL,NULL
"Deadly riot breaks out in Liberia day before vote  http://t.co/EEKUKkew via @AddThis","Twitter 1","2011-11-08 07:07:26",chandinayat,NULL,NULL,NULL,NULL,NULL,NULL
"LIBERIA: Liberia : un second tour de la prÃƒÂ©sidentielle sous tension:                                       Liber... http://t.co/71dsZtpA","Twitter 1","2011-11-08 07:06:55",jnseke,NULL,NULL,NULL,NULL,NULL,NULL
"I AM GOING TO VOTE THIS MORNING FOR PEACE  AND LET SEE WHETHER SOMEONE WILL STOP ME FROM DOING THAT. I URGE YOU MY BROTHERS AND SISTERS TO GO AND VOTE AS WELL!!!!!!!!","Liberia Media Monitoring","2011-11-08 07:06:40","Elvis Cephas",NULL,NULL,NULL,NULL,NULL,NULL
"The leaders of CDC have shown how undemocratic and unpatriotic they areÃ¢â‚¬Â¦ Liberia is greater than CDC and any other political group. The election will HOLD. Our young people should not be misled by greedy politician to perpetrate their evil desires. CDC is a broken institution and lacks the ability to lead Liberia.   Shame on all those who organized that  demonstration!!!!!!!!!","Liberian Observer Facebook","2011-11-07 22:02:14","Eugene P. Russell",NULL,NULL,NULL,NULL,NULL,NULL
"Good morning Ganta! Getting ready to witness citizens of Nimba do this election hoping for grace hope confusionists stay home! #Liberia2011","Twitter 1","2011-11-08 07:08:49",alexinafrica,NULL,NULL,NULL,NULL,NULL,NULL
"""""A word to the wise ainÃ¢â‚¬â„¢t necessary. ItÃ¢â‚¬â„¢s the stupid ones who need the advice."""" - Bill Cosby","Liberia Media Monitoring","2011-11-08 07:07:47","Le Patron Vank",NULL,NULL,NULL,NULL,NULL,NULL
"FOR US WE PROSPER DURING PEACE AND WE DONT EVEN NEED  A GOVERNMENT BY ALL MEANS LIKE SOME ARE DOING!!!!!!!!!! I WANT PEACE AND PEACE I WILL HAVE!!!!!","Liberia Media Monitoring","2011-11-08 07:07:59","Elvis Cephas",NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election http://t.co/RE9pa9WH","Twitter 1","2011-11-08 07:10:26",BreakingNews000,NULL,NULL,NULL,NULL,NULL,NULL
"http://t.co/J82StniW Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to ... http://t.co/NagK8SOB","Twitter 1","2011-11-08 07:10:04",NYUS_news,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election http://t.co/5YBj4LeX #newyorktimes","Twitter 1","2011-11-08 07:10:31",1milhaodetweets,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/y6KA9siS","Twitter 1","2011-11-08 07:10:06",doris_jones,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/oxM1b7gj","Twitter 1","2011-11-08 07:10:04",NewYorkLocks,NULL,NULL,NULL,NULL,NULL,NULL
"[nytimes] Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes be... http://t.co/cP8W9jc0","Twitter 1","2011-11-08 07:10:22",rainy2i,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/FHtC1LR2","Twitter 1","2011-11-08 07:10:35",CatyTaylor,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/EKGbncC3","Twitter 1","2011-11-08 07:10:23",zen_state,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/DzsTjQpn","Twitter 1","2011-11-08 07:10:08",nytimesnewsfeed,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/IQzYe8CA","Twitter 1","2011-11-08 07:10:09",TwTimes,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/3vLmTe01","Twitter 1","2011-11-08 07:10:26",nwehrle,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/waEngYNq","Twitter 1","2011-11-08 07:10:08",NewsAttic,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/JCFcJOsZ","Twitter 1","2011-11-08 07:10:22",ftwittpolitics,NULL,NULL,NULL,NULL,NULL,NULL
"Runoff election to start in Liberia (polls open soon) http://t.co/UIic72Xd (CNN) #Africa #News","Twitter 1","2011-11-08 07:10:36",vote4africa,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/o9gk75oo","Twitter 1","2011-11-08 07:11:08",DailyHot,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/2ZmGKpcl","Twitter 1","2011-11-08 07:11:09",IndiNews,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/4Xsi2g4b","Twitter 1","2011-11-08 07:11:02",arcashas,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/U8BCRUEV","Twitter 1","2011-11-08 07:11:13",leonaardo_silva,NULL,NULL,NULL,NULL,NULL,NULL
"Sexenio Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to cla... http://t.co/p4LEw9Wa @sexenio","Twitter 1","2011-11-08 07:11:08",egomezislas,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/hY1sUy4p","Twitter 1","2011-11-08 07:11:12",ShineCamron,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/0NytB95s","Twitter 1","2011-11-08 07:11:07",baazzi,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to... http://t.co/aGxXvPHy http://t.co/zSbN2CTs","Twitter 1","2011-11-08 07:11:01",SongEckman,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election http://t.co/MubVsXnC","Twitter 1","2011-11-08 07:11:02",sleepincot,NULL,NULL,NULL,NULL,NULL,NULL
"#NEWS Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clash... http://t.co/v5xNCT54 #NYTimes","Twitter 1","2011-11-08 07:11:11",IntegrativeNews,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/eNYNywtj","Twitter 1","2011-11-08 07:10:47",jaketku2,NULL,NULL,NULL,NULL,NULL,NULL
"http://t.co/wKtVlCjf Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to... http://t.co/Arw3RKzi","Twitter 1","2011-11-08 07:11:02",NatPayAE,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/lmt9xeMs","Twitter 1","2011-11-08 07:11:09",jzdurrani,NULL,NULL,NULL,NULL,NULL,NULL
"A crucial bellwether: #Liberia elections http://t.co/8vb9As2B via @MacJordaN","Twitter 1","2011-11-08 07:11:03",Yyadiloh,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/dltxcJgQ","Twitter 1","2011-11-08 07:10:56",KeeganRieks,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/59Ht5ZKa","Twitter 1","2011-11-08 07:11:03",amznUSA,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/zleM6RdC","Twitter 1","2011-11-08 07:11:13",TweetSpeakOnly,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election http://t.co/oXk8pojK [NY Times]","Twitter 1","2011-11-08 07:10:49",alularul,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clas... http://t.co/nwbedgO1 #TeamFollowBack","Twitter 1","2011-11-08 07:11:12",UnkDuke,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Protests Turn Violent on Eve of Election: A disputed presidential runoff has led to clashes between demo... http://t.co/ziIX0zYz","Twitter 1","2011-11-08 07:11:13",mysocialherald,NULL,NULL,NULL,NULL,NULL,NULL
"PEACE PEACE PEACE PEACE PEACE PEACE PEACE PEACE PEACE PEACE PEACE PEACE PEACE  PERFECT PEACE!!!! REMEMBER BEHIND EVERY DARK CLOUD  THERE IS A SILVER LINING AND THE DARKEST HOUR IS NEAR DAY!!!!!!! GOD WILL BLESS US ALL ON THIS DAY FOR VOTING!!!!!! WE LOVE LIBERIA AND WE WILL DEFEND WITH HER OUR VOTES!!!!!","Liberia Media Monitoring","2011-11-08 07:10:57","Elvis Cephas",NULL,NULL,NULL,NULL,NULL,NULL
"RT @RFI: Liberia - LibÃƒÂ©ria : un second tour de la prÃƒÂ©sidentielle sous tension http://t.co/OHb6hiTP","Twitter 1","2011-11-08 07:11:52",melissachemam,NULL,NULL,NULL,NULL,NULL,NULL
"Stichwahl in Liberia http://t.co/H3XUaej3","Twitter 1","2011-11-08 07:12:03",arcor_aktuell,NULL,NULL,NULL,NULL,NULL,NULL
"EllenJohnsonSirleaf, who won the Nobel Peace prize last year, now ordering killing of unarmed civillians in Liberia? Huh???","Twitter 1","2011-11-08 07:13:11",Ajairei,NULL,NULL,NULL,NULL,NULL,NULL
"Stichwahl in Liberia: In Liberia finden heute Stichwahlen fÃƒÂ¼r das PrÃƒÂ¤sidentenamt statt. Praktisch tritt jedoch n... http://t.co/h8zah1wN","Twitter 1","2011-11-08 07:13:43",allaboutpolitik,NULL,NULL,NULL,NULL,NULL,NULL
"Emotional moments in streets of Monrovia, Liberia with brave, courageous UN soldiers in between police and protesters  @UNPeacekeeping","Twitter 1","2011-11-08 07:14:11",gerardvanmourik,NULL,NULL,NULL,NULL,NULL,NULL
"Video: Violence erupts in Liberia ahead of election http://t.co/ureez7NC","Twitter 1","2011-11-08 07:15:15",AllTheBestNews,NULL,NULL,NULL,NULL,NULL,NULL
